ts,activity,id,tag
81.703743,6,50,s
81.892576,5,51,f
81.974798,6,50,f
81.974798,6,51,s
82.23558,4,52,f
82.23558,5,52,s
82.23558,4,53,s
82.312675,1,66,f
82.312675,1,67,s
82.585138,4,53,f
82.585138,4,54,s
82.623992,5,52,f
82.623992,5,53,s
82.741242,1,67,f
82.741242,1,68,s
82.912386,6,51,f
82.912386,6,52,s
82.923835,1,68,f
82.923835,1,69,s
82.980293,4,54,f
82.980293,4,55,s
83.042076,2,65,f
83.042076,2,66,s
83.314757,3,63,f
83.314757,3,64,s
83.504964,3,64,f
83.504964,3,65,s
83.610921,3,65,f
83.801069,6,52,f
83.840248,1,69,f
84.615392,2,66,f
84.615392,3,66,s
84.615392,2,67,s
84.715229,3,66,f
85.578477,2,67,f
85.578477,2,68,s
85.678777,4,55,f
85.678777,4,56,s
85.678777,3,67,s
85.837527,5,53,f
85.837527,6,53,s
85.837527,5,54,s
85.858926,4,56,f
85.858926,4,57,s
85.914971,6,53,f
86.179358,3,67,f
86.335314,4,57,f
86.335314,4,58,s
86.568145,5,54,f
86.568145,6,54,s
86.568145,5,55,s
86.603458,6,54,f
86.728792,1,70,s
86.838414,5,55,f
86.838414,6,55,s
86.838414,5,56,s
86.844352,4,58,f
86.844352,4,59,s
86.958537,6,55,f
87.574051,4,59,f
87.574051,4,60,s
87.616473,2,68,f
87.616473,3,68,s
87.616473,2,69,s
87.707235,5,56,f
87.707235,6,56,s
87.707235,5,57,s
87.773918,6,56,f
88.71457,3,68,f
88.739381,5,57,f
88.739381,6,57,s
88.739381,5,58,s
88.934344,6,57,f
89.201029,5,58,f
89.201029,6,58,s
89.201029,5,59,s
89.430066,4,60,f
89.430066,4,61,s
89.838022,4,61,f
89.838022,4,62,s
89.943054,4,62,f
89.943054,4,63,s
90.022404,4,63,f
90.022404,4,64,s
90.113674,4,64,f
90.113674,4,65,s
90.246299,6,58,f
90.271784,4,65,f
90.271784,4,66,s
90.35563,5,59,f
90.35563,6,59,s
90.35563,5,60,s
90.358919,4,66,f
90.358919,4,67,s
90.50867,4,67,f
90.50867,4,68,s
90.6801,4,68,f
90.706308,2,69,f
90.706308,3,69,s
90.78434,3,69,f
90.78434,4,69,s
90.892582,1,70,f
90.892582,1,71,s
90.892582,2,70,s
90.931757,5,60,f
90.931757,5,61,s
91.128192,4,69,f
91.501065,1,71,f
91.501065,1,72,s
91.643207,5,61,f
91.643207,5,62,s
91.954894,2,70,f
91.954894,3,70,s
91.954894,2,71,s
92.007991,5,62,f
92.007991,5,63,s
92.335363,5,63,f
92.335363,5,64,s
92.778906,3,70,f
92.778906,4,70,s
93.12728,4,70,f
93.241061,5,64,f
93.241061,5,65,s
93.395451,6,59,f
93.395451,6,60,s
93.696834,5,65,f
93.696834,5,66,s
93.754104,1,72,f
93.754104,1,73,s
93.782956,1,73,f
93.782956,1,74,s
93.809035,2,71,f
93.809035,3,71,s
93.809035,2,72,s
93.864884,1,74,f
93.864884,1,75,s
93.876736,3,71,f
93.876736,4,71,s
95.050055,4,71,f
95.172453,2,72,f
95.172453,3,72,s
95.172453,2,73,s
95.254301,6,60,f
95.254301,6,61,s
95.493928,1,75,f
95.493928,1,76,s
95.566228,3,72,f
95.566228,4,72,s
95.57423,2,73,f
95.57423,3,73,s
95.57423,2,74,s
95.730815,4,72,f
95.902209,3,73,f
95.902209,4,73,s
96.190762,6,61,f
96.190762,6,62,s
96.278802,4,73,f
96.306393,1,76,f
96.306393,1,77,s
96.434855,6,62,f
96.434855,6,63,s
96.515912,2,74,f
96.515912,3,74,s
96.515912,2,75,s
97.004943,3,74,f
97.004943,4,74,s
97.011468,4,74,f
97.808182,5,66,f
97.808182,5,67,s
97.821434,5,67,f
97.821434,5,68,s
97.991034,1,77,f
97.991034,1,78,s
98.285345,6,63,f
98.285345,6,64,s
98.310376,1,78,f
98.310376,1,79,s
98.503692,2,75,f
98.503692,3,75,s
98.503692,2,76,s
98.829957,6,64,f
98.829957,6,65,s
98.85939,6,65,f
98.85939,6,66,s
