id,activity,ts
8538,1,2849.7
8537,4,2849.7
8539,1,2849.7
8535,5,2849.7
8537,5,2849.8
8538,4,2850.3
8540,1,2850.3
8538,5,2850.3
8539,4,2850.4
8541,1,2850.4
8539,5,2850.4
8533,2,2850.9
8542,1,2850.9
8533,5,2850.9
8540,4,2850.9
8543,1,2850.9
8540,5,2851
8532,3,2851.5
8544,1,2851.5
8532,5,2851.6
8541,4,2852.2
8545,1,2852.2
8541,5,2852.2
8534,3,2852.9
8546,1,2852.9
8536,2,2852.9
8547,1,2852.9
8534,5,2852.9
8536,5,2853
8544,3,2853.1
8548,1,2853.1
8544,5,2853.2
8543,4,2853.4
8549,1,2853.4
8543,5,2853.5
8545,4,2853.5
8550,1,2853.5
8545,5,2853.5
8549,4,2854
8551,1,2854
8549,5,2854
8546,3,2854.1
8552,1,2854.1
8546,5,2854.2
8548,3,2854.4
8553,1,2854.4
8548,5,2854.4
8542,2,2854.6
8554,1,2854.6
8542,5,2854.6
8552,3,2855.4
8555,1,2855.4
8550,4,2855.4
8556,1,2855.4
8552,5,2855.4
8550,5,2855.4
8553,3,2856.2
8557,1,2856.2
8553,5,2856.2
8547,2,2856.3
8558,1,2856.3
8547,5,2856.3
8551,4,2856.7
8559,1,2856.7
8551,5,2856.7
8555,3,2857.3
8560,1,2857.3
8556,4,2857.3
8555,5,2857.3
8556,5,2857.3
8561,1,2857.4
8557,3,2857.4
8562,1,2857.5
8557,5,2857.5
8554,2,2858
8563,1,2858
8554,5,2858.1
8559,4,2858.3
8564,1,2858.3
8559,5,2858.4
8561,4,2858.6
8565,1,2858.6
8560,3,2858.7
8566,1,2858.7
8561,5,2858.7
8560,5,2858.7
8564,4,2858.7
8567,1,2858.7
8564,5,2858.8
8562,3,2859.6
8568,1,2859.6
8562,5,2859.6
8558,2,2860.1
8569,1,2860.1
8558,5,2860.1
8565,4,2860.5
8570,1,2860.5
8565,5,2860.6
8567,4,2860.6
8571,1,2860.6
8567,5,2860.6
8566,3,2860.8
8572,1,2860.8
8566,5,2860.9
8570,4,2861.5
8573,1,2861.5
8570,5,2861.5
8568,3,2861.8
8574,1,2861.8
8568,5,2861.8
8563,2,2861.8
8575,1,2861.8
8563,5,2861.9
8571,4,2862
8576,1,2862
8571,5,2862
8573,4,2862.7
8577,1,2862.7
8573,5,2862.7
8572,3,2862.9
8578,1,2862.9
8572,5,2863
8574,3,2863.2
8579,1,2863.2
8574,5,2863.3
8576,4,2863.4
8580,1,2863.4
8576,5,2863.4
8577,4,2863.4
8581,1,2863.4
8577,5,2863.5
8569,2,2863.6
8582,1,2863.6
