id,ts,activity
69209,59,992
69227,60,992
68611,1,991
68622,2,991
68633,3,991
68644,4,991
68652,5,991
68662,6,991
68668,7,991
68682,8,991
68692,9,991
68703,10,991
68714,11,991
68725,12,991
68733,13,991
68744,14,991
68756,15,991
68767,16,991
68774,17,991
68785,18,991
68795,19,991
68807,20,991
68817,21,991
68825,22,991
68832,23,991
68843,24,991
68854,25,991
68864,26,991
68871,27,991
68881,28,991
68892,29,991
68901,30,991
68914,31,991
68925,32,991
68936,33,991
68945,34,991
68956,35,991
68965,36,991
68977,37,991
68984,38,991
68993,39,991
69005,40,991
69016,41,991
69026,42,991
69034,43,991
69046,44,991
69054,45,991
69065,46,991
69076,47,991
69086,48,991
69095,49,991
69106,50,991
69119,51,991
69126,52,991
69138,53,991
69151,54,991
69162,55,991
69171,56,991
69178,57,991
69188,58,991
69198,59,991
69216,60,991
68639,1,990
68648,2,990
68660,3,990
68672,4,990
68681,5,990
68692,6,990
68701,7,990
68709,8,990
68718,9,990
68729,10,990
68738,11,990
68749,12,990
68758,13,990
68766,14,990
68782,15,990
68791,16,990
68800,17,990
68812,18,990
68825,19,990
68833,20,990
68846,21,990
68856,22,990
68869,23,990
68881,24,990
68891,25,990
68899,26,990
68912,27,990
68924,28,990
68935,29,990
68943,30,990
68955,31,990
68966,32,990
68979,33,990
68991,34,990
69004,35,990
69015,36,990
69024,37,990
69034,38,990
69044,39,990
69056,40,990
69066,41,990
69078,42,990
69088,43,990
69098,44,990
69111,45,990
69122,46,990
69135,47,990
69146,48,990
69153,49,990
69163,50,990
69171,51,990
69180,52,990
69187,53,990
69195,54,990
69204,55,990
69216,56,990
69228,57,990
69241,58,990
69251,59,990
69258,60,990
68627,1,989
68639,2,989
68648,3,989
68660,4,989
68672,5,989
68681,6,989
68692,7,989
68701,8,989
68709,9,989
68718,10,989
68730,11,989
68738,12,989
68749,13,989
68758,14,989
68772,15,989
68782,16,989
68791,17,989
68800,18,989
68812,19,989
68825,20,989
68833,21,989
68846,22,989
68856,23,989
68869,24,989
68881,25,989
68891,26,989
68899,27,989
68912,28,989
68924,29,989
68936,30,989
68943,31,989
68955,32,989
68966,33,989
68979,34,989
68991,35,989
69004,36,989
69015,37,989
69024,38,989
69034,39,989
69044,40,989
69056,41,989
69066,42,989
69078,43,989
69088,44,989
69098,45,989
69111,46,989
69122,47,989
69135,48,989
69146,49,989
69153,50,989
69163,51,989
69171,52,989
69180,53,989
69187,54,989
69195,55,989
69204,56,989
69216,57,989
69228,58,989
69241,59,989
69251,60,989
68652,1,988
68659,2,988
68672,3,988
68687,4,988
68695,5,988
68706,6,988
68715,7,988
68726,8,988
68733,9,988
68744,10,988
68751,11,988
68763,12,988
68769,13,988
68778,14,988
68791,15,988
68803,16,988
68812,17,988
68824,18,988
68838,19,988
68846,20,988
68859,21,988
68870,22,988
68882,23,988
68895,24,988
68902,25,988
68912,26,988
68924,27,988
68939,28,988
68949,29,988
68957,30,988
68964,31,988
68980,32,988
68991,33,988
69005,34,988
69014,35,988
69025,36,988
69036,37,988
69046,38,988
69054,39,988
69067,40,988
69080,41,988
69092,42,988
69101,43,988
69110,44,988
69126,45,988
69137,46,988
69147,47,988
69159,48,988
69169,49,988
69178,50,988
69188,51,988
69196,52,988
69202,53,988
69209,54,988
69215,55,988
69228,56,988
69241,57,988
69252,58,988
69264,59,988
69271,60,988
