id,activity,ts
553,1,186.31
553,3,186.95
553,5,186.99
554,1,186.47
554,4,188.32
554,5,188.35
555,1,186.83
555,3,189.5
555,5,189.54
556,1,186.95
556,3,189.6
556,5,189.63
557,1,187.47
557,4,189.76
557,5,189.79
558,1,188.15
558,2,191.99
558,5,192.02
559,1,188.32
559,4,189.91
559,5,189.94
560,1,189.5
560,3,190.74
560,5,190.78
561,1,189.6
561,3,191.07
561,5,191.11
562,1,189.76
562,4,190.83
562,5,190.87
563,1,189.91
563,4,192.4
563,5,192.44
564,1,189.99
564,2,193.7
564,5,193.73
565,1,190.74
565,3,191.69
565,5,191.72
566,1,190.83
566,4,192.43
566,5,192.47
567,1,191.07
567,3,192.75
567,5,192.78
568,1,191.69
568,3,194.58
568,5,194.61
569,1,191.99
569,2,195.59
569,5,195.62
570,1,192.4
570,4,192.58
570,5,192.61
571,1,192.43
571,4,193.14
571,5,193.17
572,1,192.58
572,4,193.78
572,5,193.81
573,1,192.75
573,3,195.3
573,5,195.33
574,1,193.14
574,4,195.13
574,5,195.16
575,1,193.7
575,2,197.75
575,5,197.79
576,1,193.78
576,4,195.31
576,5,195.37
577,1,194.58
577,3,195.6
577,5,195.65
578,1,195.13
578,4,196.54
578,5,196.58
579,1,195.3
579,3,197.41
579,5,197.44
580,1,195.31
580,4,197.15
